1. 어댑터소스,2. 개체,3. 대분류,4. 중분류,5. 영향도,6. 중요도,7. 경고 이름,8. 경고 설명,9. 권고 사항,10. 증상,11. 경고 ID
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN 성능 서비스가 활성화되지 않았습니다.,vSAN 성능 서비스가 활성화되지 않았습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2149406 KB 2149406을 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] vSAN 성능 서버가 활성화되지 않아 오류가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'perfsvc.perfsvcstatus', 'faultEvents': ['perfsvc.perfsvcstatus.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] vSAN 성능 서버가 활성화되지 않아 정보가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'perfsvc.perfsvcstatus', 'faultEvents': ['perfsvc.perfsvcstatus.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] vSAN 성능 서버가 활성화되지 않아 경고가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'perfsvc.perfsvcstatus', 'faultEvents': ['perfsvc.perfsvcstatus.Yellow']})
",AlertDefinition-perfsvc.perfsvcstatus
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,용량,위험,경고,vSAN 클러스터 가상 디스크 수가 용량에 도달하고 있습니다,vSAN 클러스터 가상 디스크 수가 용량에 도달하고 있습니다,"
1. 클러스터에 다른 호스트를 추가합니다. 자세한 내용은 https://kb.vmware.com/kb/2059936 KB 2059936을 참조하십시오.","증상 조건
operator: AND
1. 증상 묶음
relation: SELF
aggregation: ANY
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고]vSAN 클러스터 가상 디스크 수 용량이 25% 이하입니다({'type': 'CONDITION_FAULT', 'faultKey': 'ClusterComponentLimitHealth', 'faultEvents': ['ClusterComponentLimitHealthTurnYellow']})
2. 증상 묶음
relation: CHILD
aggregation: ANY
증상 이름: [VMWARE][HostSystem] [경고]vSAN 호스트 가상 디스크 수 용량이 25% 이하입니다({'type': 'CONDITION_FAULT', 'faultKey': 'HostComponentLimitHealth', 'faultEvents': ['HostComponentLimitHealthTurnYellow']})
",AlertDefinition-ClusterComponentLimitHealthApproachingCapacity
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN 확대 클러스터에 유효한 디스크 그룹이 없는 감시 호스트가 포함되어 있습니다.,vSAN 확대 클러스터에 유효한 디스크 그룹이 없는 감시 호스트가 포함되어 있습니다. 감시 호스트에 vSAN이 요청한 디스크가 없는 경우 해당 장애 도메인을 사용할 수 없습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2130584 KB 2130584를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 확대 클러스터에 오류를 발생시키는 유효한 디스크 그룹이 없는 감시 호스트가 포함되어 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.witnesswithnodiskmapping', 'faultEvents': ['stretchedcluster.witnesswithnodiskmapping.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 확대 클러스터에 정보를 발생시키는 유효한 디스크 그룹이 없는 감시 호스트가 포함되어 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.witnesswithnodiskmapping', 'faultEvents': ['stretchedcluster.witnesswithnodiskmapping.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 확대 클러스터에 경고를 발생시키는 유효한 디스크 그룹이 없는 감시 호스트가 포함되어 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.witnesswithnodiskmapping', 'faultEvents': ['stretchedcluster.witnesswithnodiskmapping.Yellow']})
",AlertDefinition-stretchedcluster.witnesswithnodiskmapping
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN Direct는 클러스터의 호스트 간에 동종으로 구성되지 않습니다.,vSAN Direct는 클러스터의 호스트 간에 동종으로 구성되지 않습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/s/article/82787 KB 82787을 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 서버 클러스터에 둘 이상의 파티션이 있어서 정보가 표시되는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'cluster.vsandconfigconsistency', 'faultEvents': ['cluster.vsandconfigconsistency.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 서버 클러스터에 둘 이상의 파티션이 있어서 오류가 표시되는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'cluster.vsandconfigconsistency', 'faultEvents': ['cluster.vsandconfigconsistency.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 서버 클러스터에 둘 이상의 파티션이 있어서 주의가 표시되는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'cluster.vsandconfigconsistency', 'faultEvents': ['cluster.vsandconfigconsistency.Yellow']})
",AlertDefinition-cluster.vsandconfigconsistency
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,가용성,상태,"경고
위험
정보
",새 패치를 사용할 수 있는 vSAN 호스트입니다.,새 패치를 사용할 수 있는 vSAN 호스트입니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/s/article/2151847 KB 2151847을 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] vSAN 호스트에 새 패치를 사용할 수 있을 경우 경고가 나타나는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'vum.patchalert', 'faultEvents': ['vum.patchalert.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] vSAN 호스트에 새 패치가 사용 가능할 경우 안내 정보가 나타나는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'vum.patchalert', 'faultEvents': ['vum.patchalert.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] vSAN 호스트에 새 패치가 사용 가능할 경우 오류가 나타나는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'vum.patchalert', 'faultEvents': ['vum.patchalert.Red']})
",AlertDefinition-vum.patchalert
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,네트워크,구성,상태,"경고
위험
정보
",vSAN 클러스터에 있는 호스트에 vSAN 트래픽을 위해 구성된 VMkernel NIC가 없습니다.,vSAN 클러스터에 있는 호스트에 vSAN 트래픽을 위해 구성된 VMkernel NIC가 없습니다. 참고: ESXi 호스트가 vSAN 클러스터의 일부이지만 스토리지에 기여하지 않는 경우에는 vSAN 트래픽을 위해 구성된 VMkernel NIC가 있어야 합니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2108062 KB 2108062를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] vSAN 클러스터에 있는 모든 호스트에 경고를 발생시키는 vSAN 트래픽을 사용하는 vmknic가 구성되었는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.vsanvmknic', 'faultEvents': ['network.vsanvmknic.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] vSAN 클러스터에 있는 모든 호스트에 정보를 발생시키는 vSAN 트래픽을 사용하는 vmknic가 구성되었는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.vsanvmknic', 'faultEvents': ['network.vsanvmknic.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] vSAN 클러스터에 있는 모든 호스트에 오류를 발생시키는 vSAN 트래픽을 사용하는 vmknic가 구성되었는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.vsanvmknic', 'faultEvents': ['network.vsanvmknic.Red']})
",AlertDefinition-network.vsanvmknic
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN에서 높은 정체 값을 보유한 물리적 디스크를 사용 중입니다.,"vSAN에서 높은 정체 값을 보유한 물리적 디스크를 사용 중입니다. 이로 인해 가상 시스템 스토리지 성능 저하, 작동 실패 또는 ESXi 호스트가 응답하지 않는 것과 같은 다양한 성능 문제가 발생할 수 있습니다.","
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2109255 KB 2109255를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] vSAN에서 경고를 발생시키는 성능이 줄어든 디스크를 사용 중인지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'physicaldisks.physdiskcongestion', 'faultEvents': ['physicaldisks.physdiskcongestion.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] vSAN에서 정보를 발생시키는 성능이 줄어든 디스크를 사용 중인지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'physicaldisks.physdiskcongestion', 'faultEvents': ['physicaldisks.physdiskcongestion.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] vSAN에서 오류를 발생시키는 성능이 줄어든 디스크를 사용 중인지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'physicaldisks.physdiskcongestion', 'faultEvents': ['physicaldisks.physdiskcongestion.Red']})
",AlertDefinition-physicaldisks.physdiskcongestion
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,하드웨어,구성,상태,"경고
위험
정보
",하드웨어 정보를 검색하는 도중 ESXi 호스트 문제가 발생했습니다.,하드웨어 정보를 검색하는 도중 ESXi 호스트 문제가 발생했습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2149290 KB 2149290을 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] ESXi 호스트에서 하드웨어를 검색하는 데 문제가 있어 정보가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.hclhostbadstate', 'faultEvents': ['hcl.hclhostbadstate.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] ESXi 호스트에서 하드웨어를 검색하는 데 문제가 있어 경고가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.hclhostbadstate', 'faultEvents': ['hcl.hclhostbadstate.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] ESXi 호스트에서 하드웨어를 검색하는 데 문제가 있어 오류가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.hclhostbadstate', 'faultEvents': ['hcl.hclhostbadstate.Red']})
",AlertDefinition-hcl.hclhostbadstate
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN에서 물리적 디스크의 개별 구성 요소 메타데이터에 무결성 문제가 발생했습니다.,vSAN에서 물리적 디스크의 개별 구성 요소 메타데이터에 무결성 문제가 발생했습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2108912 KB 2108912를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] vSAN에서 오류를 발생시키는 이 디스크에 있는 구성 요소 메타데이터에 대한 무결성 문제가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'physicaldisks.componentmetadata', 'faultEvents': ['physicaldisks.componentmetadata.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] vSAN에서 정보를 발생시키는 이 디스크에 있는 구성 요소 메타데이터에 대한 무결성 문제가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'physicaldisks.componentmetadata', 'faultEvents': ['physicaldisks.componentmetadata.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] vSAN에서 경고를 발생시키는 이 디스크에 있는 구성 요소 메타데이터에 대한 무결성 문제가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'physicaldisks.componentmetadata', 'faultEvents': ['physicaldisks.componentmetadata.Yellow']})
",AlertDefinition-physicaldisks.componentmetadata
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,가용성,상태,"경고
위험
정보
",vSAN 성능 서비스의 통계 모음이 제대로 작동하지 않습니다.,"vSAN 성능 서비스의 통계 모음이 제대로 작동하지 않습니다. 즉, 통계 모음 또는 스토리지에 대한 통계 데이터 작성이 3회 연속 실패했습니다.","
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2144401 KB 2144401을 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 경고를 발생시키는 vSAN 성능 서비스의 통계 모음을 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'perfsvc.collection', 'faultEvents': ['perfsvc.collection.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 오류를 발생시키는 vSAN 성능 서비스의 통계 모음을 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'perfsvc.collection', 'faultEvents': ['perfsvc.collection.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 정보를 발생시키는 vSAN 성능 서비스의 통계 모음을 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'perfsvc.collection', 'faultEvents': ['perfsvc.collection.Unknown']})
",AlertDefinition-perfsvc.collection
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,네트워크,구성,상태,"경고
위험
정보
",vCenter Server와 vSAN 클러스터의 일부인 호스트의 연결이 끊어졌습니다.,vSAN 클러스터의 일부인 호스트의 연결이 끊긴 상태이거나 응답하지 않으며 vCenter Server에서 해당 상태를 인지하지 못합니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2108004 KB 2108004를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 정보를 발생시키는 클러스터에 있는 모든 호스트에 VC가 연결되어 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.hostdisconnected', 'faultEvents': ['network.hostdisconnected.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 경고를 발생시키는 클러스터에 있는 모든 호스트에 VC가 연결되어 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.hostdisconnected', 'faultEvents': ['network.hostdisconnected.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 오류를 발생시키는 클러스터에 있는 모든 호스트에 VC가 연결되어 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.hostdisconnected', 'faultEvents': ['network.hostdisconnected.Red']})
",AlertDefinition-network.hostdisconnected
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN 확대 클러스터에 유효한 감시 호스트가 포함되어 있습니다.,vSAN 확대 클러스터에 유효한 감시 호스트가 없습니다. 이는 vSAN Stretched 클러스터의 작업에 영향을 줍니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2130585 KB 2130585를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 확대 클러스터에 정보를 발생시키는 유효한 감시 호스트가 포함되어 있지 않는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.clusterwithoutonewitnesshost', 'faultEvents': ['stretchedcluster.clusterwithoutonewitnesshost.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 확대 클러스터에 경고를 발생시키는 유효한 감시 호스트가 포함되어 있지 않는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.clusterwithoutonewitnesshost', 'faultEvents': ['stretchedcluster.clusterwithoutonewitnesshost.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 확대 클러스터에 오류를 발생시키는 유효한 감시 호스트가 포함되어 있지 않는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.clusterwithoutonewitnesshost', 'faultEvents': ['stretchedcluster.clusterwithoutonewitnesshost.Red']})
",AlertDefinition-stretchedcluster.clusterwithoutonewitnesshost
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN 감시 호스트에 잘못된 기본 장애 도메인이 있습니다.,vSAN 감시 호스트에 잘못된 기본 장애 도메인이 있습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2130589 KB 2130589를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 감시 호스트에 정보를 발생시키는 잘못된 기본 장애 도메인이 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.witnesspreferredfaultdomaininvalid', 'faultEvents': ['stretchedcluster.witnesspreferredfaultdomaininvalid.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 감시 호스트에 오류를 발생시키는 잘못된 기본 장애 도메인이 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.witnesspreferredfaultdomaininvalid', 'faultEvents': ['stretchedcluster.witnesspreferredfaultdomaininvalid.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 감시 호스트에 경고를 발생시키는 잘못된 기본 장애 도메인이 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'stretchedcluster.witnesspreferredfaultdomaininvalid', 'faultEvents': ['stretchedcluster.witnesspreferredfaultdomaininvalid.Yellow']})
",AlertDefinition-stretchedcluster.witnesspreferredfaultdomaininvalid
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,네트워크,구성,상태,"경고
위험
정보
",vSAN 클러스터에 여러 개의 네트워크 파티션이 있습니다.,네트워크 문제로 인해 vSAN 클러스터에 여러 개의 네트워크 파티션이 있습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2108011 KB 2108011을 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 정보를 발생시키는 네트워크 문제 때문에 vSAN 클러스터가 분할되었는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.clusterpartition', 'faultEvents': ['network.clusterpartition.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 오류를 발생시키는 네트워크 문제 때문에 vSAN 클러스터가 분할되었는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.clusterpartition', 'faultEvents': ['network.clusterpartition.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 경고를 발생시키는 네트워크 문제 때문에 vSAN 클러스터가 분할되었는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'network.clusterpartition', 'faultEvents': ['network.clusterpartition.Yellow']})
",AlertDefinition-network.clusterpartition
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,하드웨어,규정준수,상태,"경고
위험
정보
",스토리지 I/O 컨트롤러 드라이버가 호스트에서 실행 중인 ESXi의 현재 버전에서 지원되지 않습니다.,스토리지 I/O 컨트롤러 드라이버가 호스트에서 실행 중인 ESXi의 현재 버전에서 지원되지 않으므로 vSAN의 안정성 및 무결성이 위험해질 수 있습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2109262 KB 2109262를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 설치된 ESX 릴리즈에서 지정된 컨트롤러에 대해 지원되는 드라이버 중 경고가 발생하는 드라이버가 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.controllerreleasesupport', 'faultEvents': ['hcl.controllerreleasesupport.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 설치된 ESX 릴리즈에서 지정된 컨트롤러에 대해 지원되는 드라이버 중 정보가 발생하는 드라이버가 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.controllerreleasesupport', 'faultEvents': ['hcl.controllerreleasesupport.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 설치된 ESX 릴리즈에서 지정된 컨트롤러에 대해 지원되는 드라이버 중 오류가 발생하는 드라이버가 있는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.controllerreleasesupport', 'faultEvents': ['hcl.controllerreleasesupport.Red']})
",AlertDefinition-hcl.controllerreleasesupport
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,하드웨어,구성,상태,"경고
위험
정보
",패스 스루 및 RAID 디스크를 포함한 컨트롤러에 문제가 있습니다.,패스 스루 및 RAID 디스크를 포함한 컨트롤러에 문제가 있습니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/s/article/2129050 KB 2129050을 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 패스 스루 및 RAID 디스크를 포함한 컨트롤러에 문제가 있어 정보가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.mixedmode', 'faultEvents': ['hcl.mixedmode.Unknown']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 패스 스루 및 RAID 디스크를 포함한 컨트롤러에 문제가 있어 경고가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.mixedmode', 'faultEvents': ['hcl.mixedmode.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 패스 스루 및 RAID 디스크를 포함한 컨트롤러에 문제가 있어 오류가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.mixedmode', 'faultEvents': ['hcl.mixedmode.Red']})
",AlertDefinition-hcl.mixedmode
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,스토리지,구성,상태,"경고
위험
정보
",vSAN iSCSI 대상 서비스의 네트워크 구성이 유효하지 않습니다.,이 상태 확인은 vSAN iSCSI 대상 서비스에 대한 기본 vmknic의 존재를 검증하고 모든 기존 대상에 유효한 vmknic 구성이 있는지 확인합니다.,"
1. 이 경고 문제를 해결하려면 VMware https://kb.vmware.com/kb/2147602 KB 2147602를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] vSAN iSCSI 대상 서비스의 네트워크 구성이 유효하지 않아 오류가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'iscsi.iscsiservicenetworktest', 'faultEvents': ['iscsi.iscsiservicenetworktest.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] vSAN iSCSI 대상 서비스의 네트워크 구성이 유효하지 않아 경고가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'iscsi.iscsiservicenetworktest', 'faultEvents': ['iscsi.iscsiservicenetworktest.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] vSAN iSCSI 대상 서비스의 네트워크 구성이 유효하지 않아 정보가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'iscsi.iscsiservicenetworktest', 'faultEvents': ['iscsi.iscsiservicenetworktest.Unknown']})
",AlertDefinition-iscsi.iscsiservicenetworktest
VirtualAndPhysicalSANAdapter,VirtualSANDCCluster,하드웨어,구성,상태,"경고
위험
정보
",네트워크 어댑터 펌웨어가 VMware 인증을 받지 않았습니다.,네트워크 어댑터 펌웨어가 VMware 인증을 받지 않았습니다.,"
1. 자세한 내용은 https://www.vmware.com/kr/support.html VMware 지원 문의를 참조하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [위험] 네트워크 어댑터 펌웨어가 VMware 인증을 받지 않아 문제가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.pnicfirmware', 'faultEvents': ['hcl.pnicfirmware.Red']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [경고] 네트워크 어댑터 펌웨어가 VMware 인증을 받지 않아 경고가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.pnicfirmware', 'faultEvents': ['hcl.pnicfirmware.Yellow']})
증상 이름: [VirtualAndPhysicalSANAdapter][VirtualSANDCCluster] [정보] 네트워크 어댑터 펌웨어가 VMware 인증을 받지 않아 정보가 발생했는지 확인합니다.({'type': 'CONDITION_FAULT', 'faultKey': 'hcl.pnicfirmware', 'faultEvents': ['hcl.pnicfirmware.Unknown']})
",AlertDefinition-hcl.pnicfirmware
